,Open,Close,Date
170,49262.95,49841.56,
171,50213.84,50566.89,
172,50504.31,50449.63,
173,50471.49,49706.19,
174,50027.64,50054.79,
175,50284.98,50318.72,
176,50231.27,49957.32,
177,49958.69,50025.34,
178,49849.14,49908.23,
179,49981.53,49899.35,
,,50094.78,
