,0
0,41157.67206653821
1,41157.67206653821
2,41312.71283591616
3,41236.32971004136
4,41697.95294509566
5,41658.75779591664
6,42044.56854175964
7,42237.19721458358
8,42237.19721458358
9,42237.19721458358
10,42237.19721458358
11,42350.74983248836
12,42390.6663883739
13,42469.37675726872
14,43460.276033700415
15,42428.34236770176
16,42350.74983248836
17,42350.74983248836
18,42044.56854175964
19,42237.19721458358
20,42429.46020138318
21,46325.45655820664
22,47675.49945084886
23,46325.45655820664
24,46672.860846911884
25,46325.45655820664
26,46325.45655820664
27,46325.45655820664
28,43841.10943733779
29,46325.45655820664
30,46325.45655820664
31,46325.45655820664
32,46856.57556876034
33,48251.52850408654
34,47936.21754987199
35,46672.860846911884
36,46325.45655820664
37,44753.09370470951
38,45916.66634839002
39,42428.34236770176
40,42390.6663883739
41,42390.6663883739
42,43501.31042326736
43,46325.45655820664
44,46933.57894593501
45,48251.52850408654
46,48251.52850408654
47,48742.01266275354
48,49188.035736048456
49,49112.598951629676
50,48742.01266275354
51,48513.53142446775
52,49000.952186605355
53,49000.952186605355
54,49112.598951629676
55,48856.63365298924
56,46325.45655820664
57,46586.17465722976
58,46856.57556876034
59,48666.57587833477
60,49188.035736048456
61,49112.598951629676
62,49112.598951629676
63,48666.57587833477
64,47936.21754987199
65,46856.57556876034
66,47675.49945084886
67,46893.68352516978
68,48513.53142446775
69,48666.57587833477
70,46325.45655820664
71,43879.02990559363
72,43460.276033700415
73,43879.02990559363
74,43879.02990559363
75,43730.77999690062
76,46325.45655820664
77,43460.276033700415
78,43578.55658789035
79,42390.6663883739
80,43460.276033700415
81,43501.31042326736
82,47990.810405063414
83,48777.30137794076
84,49000.952186605355
85,49112.598951629676
86,49000.952186605355
87,49417.94074306177
88,49572.23320494159
89,49907.87793226064
90,49948.07193204184
91,49644.61421093115
92,49907.87793226064
93,49948.07193204184
94,50169.22711815616
95,50019.05793790625
96,49948.07193204184
97,49948.07193204184
98,49948.07193204184
99,49907.87793226064
100,49572.23320494159
101,49907.87793226064
102,50530.31149850819
103,50679.17444447548
104,50717.36079213776
105,50829.38255208651
106,50056.285677949956
107,50056.285677949956
108,50056.285677949956
109,50169.22711815616
110,50169.22711815616
111,50019.05793790625
112,49455.9757650932
113,49455.9757650932
114,49265.49943259901
115,49455.9757650932
116,49265.49943259901
117,49455.9757650932
118,49681.47419599254
119,49644.61421093115
120,50019.05793790625
121,49188.035736048456
122,49074.56392959825
123,49074.56392959825
124,49000.952186605355
125,49112.598951629676
126,49112.598951629676
127,49074.56392959825
128,49112.598951629676
129,49455.9757650932
130,49455.9757650932
131,49907.87793226064
132,50019.05793790625
133,49907.87793226064
134,49681.47419599254
135,49681.47419599254
136,49907.87793226064
137,49681.47419599254
138,50169.22711815616
139,49455.9757650932
140,49572.23320494159
141,49455.9757650932
142,49644.61421093115
143,49907.87793226064
144,49644.61421093115
145,49188.035736048456
146,49265.49943259901
147,49188.035736048456
148,49455.9757650932
149,49572.23320494159
150,49112.598951629676
151,49112.598951629676
152,49188.035736048456
153,49188.035736048456
154,49112.598951629676
155,49112.598951629676
156,49074.56392959825
157,49112.598951629676
158,49188.035736048456
159,49188.035736048456
160,49644.61421093115
161,49455.9757650932
162,50169.22711815616
163,50204.53549980026
164,50530.31149850819
165,50679.17444447548
166,50056.285677949956
167,50204.53549980026
168,50019.05793790625
169,50169.22711815616
170,50530.31149850819
171,51019.78722721202
172,50981.81831962454
173,50903.48125644266
174,50530.31149850819
175,50829.38255208651
176,50903.48125644266
177,50829.38255208651
178,50204.53549980026
179,50717.36079213776
