,0
0,45111.02910836396
1,45111.02910836396
2,45224.18173185047
3,45111.02910836396
4,45755.90457886577
5,45755.90457886577
6,45912.489543770105
7,45912.489543770105
8,45912.489543770105
9,45912.489543770105
10,46106.27797081803
11,46068.66110278698
12,46299.968648665345
13,46616.527207788786
14,46418.66770811398
15,46536.87414042236
16,46181.171740516365
17,46145.86826338705
18,45912.489543770105
19,45990.02218797316
20,46496.126833425864
21,46732.308773445344
22,47466.8636273388
23,47351.47039180479
24,47466.8636273388
25,46732.308773445344
26,47351.47039180479
27,46694.415644545435
28,46694.415644545435
29,46732.308773445344
30,46694.415644545435
31,47351.47039180479
32,47351.47039180479
33,47466.8636273388
34,47466.8636273388
35,47466.8636273388
36,47351.47039180479
37,47313.57726290488
38,46694.415644545435
39,46377.473949331004
40,46299.968648665345
41,46299.968648665345
42,46616.527207788786
43,46694.415644545435
44,47466.8636273388
45,47466.8636273388
46,47466.8636273388
47,47507.431622372875
48,47507.431622372875
49,47507.431622372875
50,47507.431622372875
51,47466.8636273388
52,47466.8636273388
53,47466.8636273388
54,47466.8636273388
55,47466.8636273388
56,47351.47039180479
57,47351.47039180479
58,47351.47039180479
59,47466.8636273388
60,47507.431622372875
61,47507.431622372875
62,47466.8636273388
63,47466.8636273388
64,47466.8636273388
65,47351.47039180479
66,47466.8636273388
67,47466.8636273388
68,47466.8636273388
69,47466.8636273388
70,46732.308773445344
71,46694.415644545435
72,46578.06789920533
73,46694.415644545435
74,46694.415644545435
75,46694.415644545435
76,46732.308773445344
77,46617.489432412156
78,46655.94874099561
79,46341.16240744831
80,46418.66770811398
81,46616.527207788786
82,47466.8636273388
83,47466.8636273388
84,47466.8636273388
85,47466.8636273388
86,47466.8636273388
87,47583.79927396805
88,47660.65081450672
89,47700.20553183587
90,47700.20553183587
91,47660.65081450672
92,47700.20553183587
93,47700.20553183587
94,47700.20553183587
95,47700.20553183587
96,47700.20553183587
97,47700.20553183587
98,47700.20553183587
99,47700.20553183587
100,47660.65081450672
101,47700.20553183587
102,47700.20553183587
103,47700.20553183587
104,47700.20553183587
105,47700.20553183587
106,47700.20553183587
107,47700.20553183587
108,47700.20553183587
109,47700.20553183587
110,47700.20553183587
111,47700.20553183587
112,47583.79927396805
113,47583.79927396805
114,47507.431622372875
115,47583.79927396805
116,47507.431622372875
117,47583.79927396805
118,47660.65081450672
119,47660.65081450672
120,47700.20553183587
121,47507.431622372875
122,47466.8636273388
123,47466.8636273388
124,47466.8636273388
125,47466.8636273388
126,47466.8636273388
127,47466.8636273388
128,47466.8636273388
129,47583.79927396805
130,47583.79927396805
131,47700.20553183587
132,47700.20553183587
133,47700.20553183587
134,47660.65081450672
135,47660.65081450672
136,47700.20553183587
137,47660.65081450672
138,47700.20553183587
139,47583.79927396805
140,47660.65081450672
141,47583.79927396805
142,47660.65081450672
143,47700.20553183587
144,47660.65081450672
145,47507.431622372875
146,47507.431622372875
147,47507.431622372875
148,47583.79927396805
149,47660.65081450672
150,47466.8636273388
151,47466.8636273388
152,47507.431622372875
153,47507.431622372875
154,47466.8636273388
155,47466.8636273388
156,47466.8636273388
157,47507.431622372875
158,47507.431622372875
159,47507.431622372875
160,47660.65081450672
161,47583.79927396805
162,47700.20553183587
163,47700.20553183587
164,47700.20553183587
165,47700.20553183587
166,47700.20553183587
167,47700.20553183587
168,47700.20553183587
169,47700.20553183587
170,47700.20553183587
171,47700.20553183587
172,47700.20553183587
173,47700.20553183587
174,47700.20553183587
175,47700.20553183587
176,47700.20553183587
177,47700.20553183587
178,47700.20553183587
179,47700.20553183587
