,Close
0,40339.04
1,40959.43
2,40763.04
3,40846.92
4,42777.67
5,42667.09
6,43167.28
7,43234.98
8,43670.24
9,43530.75
10,43620.78
11,43979.14
12,44022.77
13,45157.58
14,44351.78
15,43939.07
16,43704.07
17,44396.81
18,43461.96
19,43622.12
20,45671.39
21,45553.3
22,46433.43
23,46207.83
24,46090.72
25,45639.42
26,45498.01
27,45314.76
28,45311.54
29,45507.3
30,45297.28
31,46070.67
32,46075.57
33,46585.94
34,46302.05
35,45715.18
36,46165.29
37,45180.99
38,45411.13
39,44154.28
40,44513.77
41,43965.55
42,45405.42
43,45784.36
44,46281.8
45,46471.02
46,46502.01
47,47582.84
48,47542.18
49,47542.64
50,46216.67
51,46875.89
52,46754.67
53,46912.55
54,47258.27
55,46515.57
56,45945.98
57,45960.88
58,46260.06
59,47207.16
60,47862.15
61,47384.12
62,47355.57
63,46167.83
64,46422.95
65,46244.4
66,46419.6
67,45839.48
68,46778.93
69,46008.18
70,45710.32
71,44937.31
72,44953.67
73,45456.91
74,45394.46
75,45339.3
76,45517.3
77,44796.74
78,44678.53
79,44427.34
80,44431.44
81,45363.27
82,46639.3
83,46560.56
84,47165.04
85,47035.31
86,47135.95
87,48529.53
88,48418.44
89,49124.36
90,48852.08
91,48660.49
92,49072.52
93,49003.88
94,49542.66
95,49364.85
96,48851.09
97,49237.65
98,49253.16
99,48456.81
100,48493.33
101,49117.66
102,50050.34
103,50098.51
104,50080.08
105,49496.13
106,49532.43
107,49621.94
108,49180.5
109,49676.39
110,49260.18
111,48708.38
112,48124.79
113,48306.28
114,48288.08
115,48407.89
116,47564.82
117,48494.59
118,48922.71
119,48876.83
120,48720.92
121,46991.39
122,47113.07
123,46940.88
124,47054.29
125,47254.51
126,47322.01
127,47163.12
128,47444.05
129,48365.08
130,48402.89
131,49060.62
132,48986.02
133,49037.1
134,48931.53
135,48552.28
136,48926.73
137,48783.28
138,48803.46
139,48508.22
140,48689.59
141,48456.12
142,48786.57
143,49074.77
144,48525.24
145,48121.48
146,48208.08
147,47870.3
148,48585.84
149,47673.68
150,47081.63
151,47095.26
152,47559.88
153,47417.45
154,47368.77
155,47214.47
156,46961.45
157,47410.51
158,47588.38
159,47402.41
160,48751.95
161,48427.57
162,49638.76
163,49847.11
164,50050.14
165,49560.05
166,49398.07
167,49721.35
168,48980.09
169,49392.55
170,49841.56
171,50566.89
172,50449.63
173,49706.19
174,50054.79
175,50318.72
176,49957.32
177,50025.34
178,49908.23
179,49899.35
